chr	start	stop	HepG2
chr10	600	800	U
chr10	650	850	U
chr10	700	900	U
chr10	750	950	U
chr10	800	1000	U
chr10	850	1050	U
chr10	900	1100	U
chr10	950	1150	U
chr10	1000	1200	U
chr10	1050	1250	U
chr10	1100	1300	U
chr10	1150	1350	U
chr10	1200	1400	U
chr10	1250	1450	U
chr10	1300	1500	U
chr10	1350	1550	U
chr10	1400	1600	U
chr10	1450	1650	U
chr10	1500	1700	U
chr10	1550	1750	U
chr10	1600	1800	U
chr10	1650	1850	U
chr10	1700	1900	U
chr10	1750	1950	U
chr10	1800	2000	U
chr10	1850	2050	U
chr10	1900	2100	U
chr10	1950	2150	U
chr10	2000	2200	U
chr10	2050	2250	U
chr10	2100	2300	U
chr10	2150	2350	U
chr10	2200	2400	U
chr10	2250	2450	U
chr10	2300	2500	U
chr10	2350	2550	U
chr10	2400	2600	U
chr10	2450	2650	U
chr10	2500	2700	U
chr10	2550	2750	U
chr10	2600	2800	U
chr10	2650	2850	U
chr10	2700	2900	U
chr10	2750	2950	U
chr10	2800	3000	U
chr10	2850	3050	U
chr10	2900	3100	U
chr10	2950	3150	U
chr10	3000	3200	U
chr10	3050	3250	U
chr10	3100	3300	U
chr10	3150	3350	U
chr10	3200	3400	U
chr10	3250	3450	U
chr10	3300	3500	U
chr10	3350	3550	U
chr10	3400	3600	U
chr10	3450	3650	U
chr10	3500	3700	U
chr10	3550	3750	U
chr10	3600	3800	U
chr10	3650	3850	U
chr10	3700	3900	U
chr10	3750	3950	U
chr10	3800	4000	U
chr10	3850	4050	U
chr10	3900	4100	U
chr10	3950	4150	U
chr10	4000	4200	U
chr10	4050	4250	U
chr10	4100	4300	U
chr10	4150	4350	U
chr10	4200	4400	U
chr10	4250	4450	U
chr10	4300	4500	U
chr10	4350	4550	U
chr10	4400	4600	U
chr10	4450	4650	U
chr10	4500	4700	U
chr10	4550	4750	U
chr10	4600	4800	U
chr10	4650	4850	U
chr10	4700	4900	U
chr10	4750	4950	U
chr10	4800	5000	U
chr10	4850	5050	U
chr10	4900	5100	U
chr10	4950	5150	U
chr10	5000	5200	U
chr10	5050	5250	U
chr10	5100	5300	U
chr10	5150	5350	U
chr10	5200	5400	U
chr10	5250	5450	U
chr10	5300	5500	U
chr10	5350	5550	U
chr10	5400	5600	U
chr10	5450	5650	U
chr10	5500	5700	U
